date,avg_positive,avg_negative,avg_neutral,headline_count,close,next_close,stock_move
2024-10-18,0.0,1.0,0.0,1,233.68484497070312,235.15655517578125,1
2024-10-21,0.4998,0.0,0.5002,2,235.15655517578125,234.5400390625,0
2024-10-22,0.0078,0.1263,0.866,2,234.5400390625,229.46856689453125,0
2024-10-23,0.0009,0.0004,0.9987,1,229.46856689453125,232.09378051757812,1
2024-10-28,0.2011,0.1464,0.6524,3,232.09378051757812,232.36228942871094,1
2024-10-29,0.0001,0.2761,0.7238,1,232.36228942871094,224.6457061767578,0
2024-10-31,1.0,0.0,0.0,1,224.6457061767578,221.66250610351562,0
2024-11-01,1.0,0.0,0.0,2,221.66250610351562,220.7675323486328,0
2024-11-04,0.0386,0.8133,0.1481,1,220.7675323486328,223.22042846679688,1
2024-11-12,0.0,0.0003,0.9997,1,223.22042846679688,227.19247436523438,1
2024-11-14,0.0,1.0,0.0,1,227.19247436523438,223.98695373535156,0
2024-11-15,0.0022,0.973,0.0248,1,223.98695373535156,227.49111938476562,1
2024-11-21,0.0,0.9999,0.0001,1,227.49111938476562,228.8350372314453,1
2024-11-22,0.0149,0.2004,0.7847,5,228.8350372314453,231.821533203125,1
2024-11-25,0.0003,0.0001,0.9996,1,231.821533203125,233.87225341796875,1
2024-11-27,1.0,0.0,0.0,1,233.87225341796875,238.51126098632812,1
2024-12-02,0.9215,0.0,0.0785,1,238.51126098632812,241.94573974609375,1
2024-12-05,0.001,0.0458,0.9532,1,241.94573974609375,245.6390380859375,1
2024-12-09,1.0,0.0,0.0,1,245.6390380859375,245.38018798828125,0
2024-12-11,0.0333,0.0006,0.9661,1,245.38018798828125,247.0128173828125,1
2024-12-13,1.0,0.0,0.0,1,247.0128173828125,249.90969848632812,1
2024-12-16,1.0,0.0,0.0,1,249.90969848632812,248.66534423828125,0
2024-12-19,0.0,1.0,0.0,2,248.66534423828125,253.34420776367188,1
2024-12-20,0.0219,0.0014,0.9767,1,253.34420776367188,254.1206817626953,1
