date,avg_positive,avg_negative,avg_neutral,headline_count,open,close,stock_move_intraday,overnight_gap,open_vs_sma20,rsi_change_lag1
2024-04-01,1.0,0.0,0.0,1,169.64609346633853,168.49655151367188,0,-0.001690942605562433,-0.008723307685762221,-3.0087206914552667
2024-04-02,0.9847,0.0002,0.0151,1,167.55510167176752,167.3172607421875,0,-0.0055873537674625265,-0.018204029331952257,-2.2695928005655404
2024-04-03,0.008,0.0008,0.9912,2,167.26770493028647,168.1199493408203,1,-0.00029617871868813545,-0.018103446873510818,-1.8133829508607988
2024-04-04,0.0002,0.0009,0.9989,1,168.7541832986243,167.29745483398438,0,0.0037725086183450956,-0.009242069338369354,1.96785141937076
2024-04-05,0.0002,0.0074,0.9925,1,168.06050251317026,168.05059814453125,0,0.00456102383591603,-0.013228563605086405,-1.3767951367820785
2024-04-15,0.009,0.5,0.491,2,173.7784557074799,171.13253784179688,0,-0.006740356230935802,0.02116748771846015,2.4703095429750093
2024-04-16,0.0,1.0,0.0,1,170.20100688366134,167.85238647460938,0,-0.0054433304728799805,0.00012508740913087582,-7.396362689634003
2024-04-17,0.0008,0.2508,0.7485,2,168.08034382587564,166.48486328125,0,0.001358082277255867,-0.011086605572298224,-5.306267726329665
2024-04-18,0.0131,0.0,0.9869,3,166.51455452467067,165.53347778320312,0,0.0001783419995997658,-0.01798589374313023,-2.029558763280633
2024-04-19,0.0003,0.0547,0.945,3,164.7109957890585,163.51190185546875,0,-0.004968674646114893,-0.025309886807027355,-1.4025715823140672
2024-04-23,0.9994,0.0006,0.0,1,163.85875133255257,165.39476013183594,1,-0.002954548466722725,-0.026697358988947175,1.8870603381723825
2024-04-24,0.0,1.0,0.0,1,165.03799187966663,167.49563598632812,1,-0.0021570710697541053,-0.018551819731532783,2.3879442765582155
2024-04-26,0.0198,0.002,0.9781,2,168.3478879652858,167.7731170654297,0,-5.889468289430725e-05,0.002345381285859835,1.7905216194288727
2024-04-29,0.0006,0.9994,0.0,1,171.80640930182136,171.93524169921875,1,0.024040157964155446,0.02359576451119909,-1.1627792818101383
2024-05-02,0.4772,0.0228,0.5,2,170.95418315705703,171.46949768066406,1,0.01896052327851048,0.017134119640969593,-1.8598360295466208
2024-05-03,0.343,0.6565,0.0005,6,184.96666391602972,181.72616577148438,0,0.07871467764197967,0.0991406570773557,6.73824431941393
2024-05-06,0.0017,0.0,0.9982,2,180.70544017490002,180.0712127685547,0,-0.005616833394635586,0.06947332816897024,12.690667664106698
2024-05-07,0.0202,0.0002,0.9796,3,181.79552305097843,180.75498962402344,0,0.009575713163213921,0.07175729608524099,-3.0716390464442824
2024-05-08,0.0033,0.0,0.9967,1,181.20091221961113,181.09190368652344,0,0.0024670002001893456,0.06429416551631106,0.7247661871938007
2024-05-09,0.5681,0.4003,0.0317,3,180.91352883975787,182.90541076660156,1,-0.0009849962540254553,0.05799989063751137,0.37291614552907504
2024-05-10,0.3334,0.501,0.1656,3,183.48093424482693,181.6451416015625,0,0.0031465634385183213,0.07005936925201714,2.016090374839223
2024-05-13,0.5,0.001,0.499,2,184.01680743143146,184.85035705566406,1,0.013056588296048093,0.07109589155622134,-2.7587127338631205
2024-05-14,0.0,0.0,1.0,1,186.07091921634225,185.9915313720703,0,0.006602974319982711,0.07874543724064288,3.635563640524083
2024-05-15,0.0,0.0,1.0,1,186.46787049037354,188.26397705078125,1,0.0025610796082447865,0.07539226096476746,1.205647107217473
2024-05-20,1.0,0.0,0.0,1,187.87695420764547,189.57382202148438,1,-0.0028441393310988166,0.06222171888792096,0.03211006768199809
2024-05-21,0.0066,0.4934,0.5001,2,189.62343971650407,190.873779296875,1,0.00026173284101466284,0.0645038259951998,1.2857252379468775
2024-05-22,0.0002,0.0001,0.9998,1,190.79440205142186,189.43490600585938,0,-0.00041586249167145043,0.06347174134589109,1.4042268717255553
2024-05-24,0.0002,0.9892,0.0106,1,187.37087155015982,188.52195739746094,1,0.010381022446301444,0.033151968893421896,-10.291332530107859
2024-05-29,0.0,0.0,1.0,1,188.15481585355153,188.82958984375,1,-0.0020001403588540845,0.026901566058156752,0.013671047539418169
2024-05-31,0.0,0.0,1.0,1,189.9707854632458,190.77456665039062,1,0.0007843460087738415,0.0250407508519766,1.4787356614791491
2024-06-05,0.0376,0.4382,0.5242,2,193.9003813531384,194.3667755126953,1,0.005402680109475471,0.03427142676763094,0.43811093634037945
2024-06-06,0.2374,0.3661,0.3965,5,194.1881470745491,192.9874267578125,0,-0.0009190276356389828,0.03205970612908222,2.0561239391724087
2024-06-07,0.0182,0.9625,0.0193,3,193.1561225415401,195.37893676757812,1,0.0008741283645348704,0.023339902501216068,-4.604020931710181
2024-06-10,0.0017,0.0128,0.9855,2,195.38883614317194,191.63784790039062,0,5.066756815037028e-05,0.031759630618280826,3.4346023254445726
2024-06-11,0.4853,0.168,0.3468,6,192.1638033246204,205.56019592285156,1,0.0027445279207224185,0.01205953400000761,-10.799841113544346
2024-06-12,0.3333,0.0001,0.6666,3,205.77850209290926,211.4347686767578,1,0.0010620060419656025,0.07788506424189129,15.013193983113979
2024-06-13,0.0001,0.9997,0.0002,1,213.09192677850285,212.59576416015625,0,0.00783768020801966,0.10880466528994936,3.618873714665881
2024-06-14,0.0005,0.098,0.9015,2,212.20877015870124,210.8592071533203,0,-0.0018203279025045451,0.0972631103784249,0.6373246323367425
2024-06-17,0.0,0.0036,0.9964,1,211.7324793139925,215.0071563720703,1,0.004141494092013851,0.08847539653599298,-3.70110114005999
2024-06-18,0.0,0.368,0.632,1,215.92007781385274,212.64540100097656,0,0.004246004910658033,0.1024667670807136,2.576293324877625
2024-06-20,0.0,0.9924,0.0075,2,212.28815296354617,208.07077026367188,0,-0.001680017699648037,0.07757552883492956,-4.824298995005577
2024-06-21,0.0,0.499,0.501,2,208.77533580800622,205.89759826660156,0,0.003386182227525291,0.055139194324482575,-8.370935823392301
2024-06-24,0.3698,0.0842,0.5459,2,206.12581247138846,206.54258728027344,1,0.0011083869200426359,0.03743284633961065,-3.587071500321173
2024-06-25,0.0137,0.9815,0.0048,1,207.54482679949032,207.4654541015625,0,0.004852459400331179,0.03905836859250388,0.6615104200708473
2024-06-26,0.0002,0.0001,0.9997,1,209.87680350658064,211.61337280273438,1,0.011622896040502689,0.04577422069696802,0.975761759036331
2024-07-10,0.9981,0.0001,0.0018,1,227.54020555015646,231.19195556640625,1,0.002711173693693421,0.07029750478171444,0.5563633802140657
2024-07-11,0.0013,0.4935,0.5052,2,229.61414576243664,225.82347106933594,0,-0.0068246743278937904,0.07009807183295284,2.607196567877935
2024-07-12,0.0,0.0,1.0,2,227.16311346469493,228.7706756591797,1,0.005932254911393487,0.05369990908031856,-10.166733991168684
2024-07-15,1.0,0.0,0.0,1,234.66509753137677,232.60105895996094,0,0.02576563563145889,0.08413904992336697,2.225923407792834
2024-07-24,0.0,1.0,0.0,1,222.28089648286087,216.86279296875,0,-0.004488607636492607,0.0010950258375173137,1.2208146170506282
2024-07-25,0.0,0.002,0.998,1,217.24978234747041,215.8208465576172,0,0.0017844895079635911,-0.023629949596439066,-9.079872841087386
2024-07-26,0.0,1.0,0.0,1,217.0215271741731,216.28721618652344,0,0.005563320854806104,-0.025577065417092176,-1.3017556934727281
2024-07-29,0.0098,0.0026,0.9875,3,215.29491873308154,216.56509399414062,1,-0.004587869181256406,-0.0341600440223464,0.6692640449066545
2024-07-30,0.0,0.0,1.0,1,217.50779485320817,217.12078857421875,0,0.004352967699831851,-0.025884998306023102,0.420546845207177
2024-07-31,0.006,0.0,0.994,1,219.7405227481965,220.3756103515625,1,0.01206579154018796,-0.016333744650984736,0.8829629755178914
2024-08-01,0.9999,0.0001,0.0,1,222.64802807062824,216.6841583251953,0,0.010311566309178148,-0.003718841571268663,4.940003076399101
2024-08-02,0.6666,0.0,0.3333,3,217.46809553371503,218.1726531982422,1,0.0036178796575576117,-0.02620775994273255,-5.78219820580869
2024-08-05,1.0,0.0,0.0,1,197.562059997048,207.6639404296875,1,-0.09446918712798712,-0.11406878224834026,2.2748782132355956
2024-08-06,0.006,0.5399,0.4542,2,203.72439154098564,205.6395721435547,1,-0.01897078944255008,-0.08264875991017161,-12.77566246507574
2024-08-09,0.0,0.0,1.0,2,210.47221789303094,214.5804443359375,1,-0.005672406024419209,-0.039632646724752425,5.04563180617243
